,loss,conv,fa,cl,asp,ad,dataset,acc lp,best_values
24,APP,SAGE,0.5,0.01,2,20,0.50.50.01220,0.4052837857453912,"{'hidden_layer': 64, 'out_layer': 64, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.0078206196651829, 'num_negative_samples': 1, 'alpha': 0.8}"
25,APP,SAGE,0.5,0.01,2,40,0.50.50.01240,0.3538192076384152,"{'hidden_layer': 256, 'out_layer': 64, 'dropout': 0.2, 'size of network, number of convs': 3, 'lr': 0.0084796816888479, 'num_negative_samples': 16, 'alpha': 0.9}"
26,APP,SAGE,0.5,0.01,3,2,0.50.50.0132,0.3331933619994625,"{'hidden_layer': 256, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 2, 'lr': 0.0082843038894237, 'num_negative_samples': 16, 'alpha': 0.9}"
27,APP,SAGE,0.5,0.01,3,5,0.50.50.0135,0.3168148229155275,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.3, 'size of network, number of convs': 3, 'lr': 0.0098811527396855, 'num_negative_samples': 21, 'alpha': 0.9}"
28,APP,SAGE,0.5,0.01,3,20,0.50.50.01320,0.3750743162901307,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.1, 'size of network, number of convs': 3, 'lr': 0.005192745291046, 'num_negative_samples': 21, 'alpha': 0.9}"
29,APP,SAGE,0.5,0.01,4,2,0.50.50.0142,0.4743099315883874,"{'hidden_layer': 128, 'out_layer': 128, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.0093795898906714, 'num_negative_samples': 1, 'alpha': 0.9}"
30,APP,SAGE,0.5,0.01,4,5,0.50.50.0145,0.3132880413501449,"{'hidden_layer': 256, 'out_layer': 64, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.0084316168754151, 'num_negative_samples': 1, 'alpha': 0.9}"
31,APP,SAGE,0.5,0.01,7,2,0.50.50.0172,0.3047661584581144,"{'hidden_layer': 128, 'out_layer': 64, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.0074595771086381, 'num_negative_samples': 1, 'alpha': 0.9}"
32,APP,SAGE,0.5,0.2,2,5,0.50.50.225,0.4291710958170716,"{'hidden_layer': 256, 'out_layer': 64, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.006410789475214, 'num_negative_samples': 1, 'alpha': 0.7}"
33,APP,SAGE,0.5,0.2,2,20,0.50.50.2220,0.5875291033984094,"{'hidden_layer': 256, 'out_layer': 32, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.0095538030072444, 'num_negative_samples': 6, 'alpha': 0.5}"
34,APP,SAGE,0.5,0.2,2,40,0.50.50.2240,0.5403782911077992,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.3, 'size of network, number of convs': 3, 'lr': 0.0055157993802151, 'num_negative_samples': 6, 'alpha': 0.1}"
35,APP,SAGE,0.5,0.2,3,2,0.50.50.232,0.4229801997027558,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.2, 'size of network, number of convs': 3, 'lr': 0.0096799248885903, 'num_negative_samples': 21, 'alpha': 0.9}"
36,APP,SAGE,0.5,0.2,3,5,0.50.50.235,0.443971246841979,"{'hidden_layer': 256, 'out_layer': 64, 'dropout': 0.1, 'size of network, number of convs': 3, 'lr': 0.0070634703931438, 'num_negative_samples': 21, 'alpha': 0.8}"
37,APP,SAGE,0.5,0.2,3,20,0.50.50.2320,0.5234374715158144,"{'hidden_layer': 256, 'out_layer': 32, 'dropout': 0.3, 'size of network, number of convs': 3, 'lr': 0.009802240052281, 'num_negative_samples': 16, 'alpha': 0.6}"
38,APP,SAGE,0.5,0.2,4,2,0.50.50.242,0.4530295337966772,"{'hidden_layer': 64, 'out_layer': 64, 'dropout': 0.3, 'size of network, number of convs': 3, 'lr': 0.0098745789652843, 'num_negative_samples': 16, 'alpha': 0.9}"
39,APP,SAGE,0.5,0.2,4,5,0.50.50.245,0.5169530147710673,"{'hidden_layer': 32, 'out_layer': 32, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.0066761508540301, 'num_negative_samples': 16, 'alpha': 0.9}"
40,APP,SAGE,0.5,0.5,2,5,0.50.50.525,0.5540920357519283,"{'hidden_layer': 64, 'out_layer': 64, 'dropout': 0.4, 'size of network, number of convs': 3, 'lr': 0.0098033579421645, 'num_negative_samples': 16, 'alpha': 0.8}"
41,APP,SAGE,0.5,0.5,2,20,0.50.50.5220,0.5079468426973174,"{'hidden_layer': 64, 'out_layer': 64, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.0097386676598201, 'num_negative_samples': 21, 'alpha': 0.8}"
