,loss,conv,fa,cl,asp,ad,dataset,acc lp,best_values
33,GraphFactorization,SAGE,0.1,0.2,2,40,0.50.10.2240,0.7088383050847458,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.006353267647436527, 'lmbda': 0.22339870925665714}"
34,GraphFactorization,GCN,0.1,0.2,2,40,0.50.10.2240,0.6779820338983051,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.006802431509744371, 'lmbda': 0.18971218269022797}"
35,GraphFactorization,GAT,0.1,0.2,2,40,0.50.10.2240,0.728586779661017,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.008275030354452489, 'lmbda': 0.1344805103481263}"
36,GraphFactorization,SAGE,0.1,0.2,3,2,0.50.10.232,0.6247667089053435,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.005713992458890683, 'lmbda': 0.34795492186480276}"
37,GraphFactorization,GCN,0.1,0.2,3,2,0.50.10.232,0.7589925873146323,"{'hidden_layer': 256, 'out_layer': 64, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.005152394283437935, 'lmbda': 0.14671395072984633}"
38,GraphFactorization,GAT,0.1,0.2,3,2,0.50.10.232,0.7927585634531535,"{'hidden_layer': 256, 'out_layer': 64, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.005000774052266736, 'lmbda': 0.07445655685041357}"
39,GraphFactorization,SAGE,0.1,0.2,3,5,0.50.10.235,0.6033643250688705,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.1, 'size of network, number of convs': 3, 'lr': 0.006753683407778132, 'lmbda': 0.43321769508955316}"
40,GraphFactorization,GCN,0.1,0.2,3,5,0.50.10.235,0.6434573002754822,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.009414006422162842, 'lmbda': 0.2731205204620748}"
41,GraphFactorization,GAT,0.1,0.2,3,5,0.50.10.235,0.7449150596877869,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.006530019830957898, 'lmbda': 0.5648511529225139}"
42,GraphFactorization,SAGE,0.1,0.2,3,20,0.50.10.2320,0.5826583354857808,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.1, 'size of network, number of convs': 3, 'lr': 0.008933425720643812, 'lmbda': 0.6760595544311123}"
43,GraphFactorization,GCN,0.1,0.2,3,20,0.50.10.2320,0.7011121139742693,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.008541864867398498, 'lmbda': 0.22535946583698963}"
44,GraphFactorization,GAT,0.1,0.2,3,20,0.50.10.2320,0.7244818889685375,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.009450154549655055, 'lmbda': 0.01758355160184419}"
45,GraphFactorization,SAGE,0.1,0.2,4,2,0.50.10.242,0.6797652796829752,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.1, 'size of network, number of convs': 3, 'lr': 0.009213416281125824, 'lmbda': 0.3311590778820878}"
46,GraphFactorization,GCN,0.1,0.2,4,2,0.50.10.242,0.78008840115836,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.007966331806426448, 'lmbda': 0.16446505055844202}"
47,GraphFactorization,GAT,0.1,0.2,4,2,0.50.10.242,0.8101691815272062,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.007338237611973856, 'lmbda': 0.0006329682459504105}"
48,GraphFactorization,SAGE,0.1,0.2,4,5,0.50.10.245,0.6554478998384491,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.006296521349093528, 'lmbda': 0.06440255261683847}"
49,GraphFactorization,GCN,0.1,0.2,4,5,0.50.10.245,0.6759454765751212,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.008315897598733732, 'lmbda': 0.13394591068703396}"
50,GraphFactorization,GAT,0.1,0.2,4,5,0.50.10.245,0.7015230210016155,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.007183974317034824, 'lmbda': 0.6409470535807259}"
51,GraphFactorization,SAGE,0.1,0.5,2,5,0.50.10.525,0.7203287729528607,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.009158942785027668, 'lmbda': 0.2572554998807091}"
52,GraphFactorization,GCN,0.1,0.5,2,5,0.50.10.525,0.7859237789624416,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.00939526108653601, 'lmbda': 0.19170512861036215}"
53,GraphFactorization,GAT,0.1,0.5,2,5,0.50.10.525,0.7949431821449315,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.008981648683858444, 'lmbda': 0.23893211990068416}"
