,type of loss,loss,conv,fa,cl,asp,ad,acc lp
84,similarity distr.,APP,GCN,0.1,0.2,4,2,0.4185520499923791
85,similarity distr.,APP,GCN,0.1,0.2,4,5,0.4424806138933764
86,similarity distr.,APP,GCN,0.1,0.5,2,5,0.4023313723122221
87,similarity distr.,APP,GCN,0.1,0.5,2,20,0.3965065357785715
88,similarity distr.,APP,GCN,0.1,0.5,2,40,0.5341733807198845
89,similarity distr.,APP,GCN,0.1,0.5,3,5,0.5505020444076394
90,similarity distr.,APP,GCN,0.1,0.5,3,20,0.573924313786381
91,similarity distr.,APP,GCN,0.1,0.5,4,5,0.3532852602941304
92,similarity distr.,APP,GCN,0.5,0.01,2,5,0.4217391304347826
93,similarity distr.,APP,GCN,0.5,0.01,2,20,0.4311865937646167
94,similarity distr.,APP,GCN,0.5,0.01,2,40,0.4110143220286441
95,similarity distr.,APP,GCN,0.5,0.01,3,2,0.27714324106423
96,similarity distr.,APP,GCN,0.5,0.01,3,5,0.3763377025105844
97,similarity distr.,APP,GCN,0.5,0.01,3,20,0.3250037158145065
98,similarity distr.,APP,GCN,0.5,0.01,4,2,0.4410406184028825
99,similarity distr.,APP,GCN,0.5,0.01,4,5,0.3876184509358603
100,similarity distr.,APP,GCN,0.5,0.01,7,2,0.453466365879877
101,similarity distr.,APP,GCN,0.5,0.2,2,5,0.2981810740140129
102,similarity distr.,APP,GCN,0.5,0.2,2,20,0.4308869305856833
103,similarity distr.,APP,GCN,0.5,0.2,2,40,0.4155620963735718
104,similarity distr.,APP,GCN,0.5,0.2,3,2,0.3505236640356345
105,similarity distr.,APP,GCN,0.5,0.2,3,5,0.4365038920839839
106,similarity distr.,APP,GCN,0.5,0.2,3,20,0.4557021237808769
107,similarity distr.,APP,GCN,0.5,0.2,4,2,0.3968965004114073
108,similarity distr.,APP,GCN,0.5,0.2,4,5,0.3957082121140232
109,similarity distr.,APP,GCN,0.5,0.5,2,5,0.2861991497152287
110,similarity distr.,APP,GCN,0.5,0.5,2,20,0.2216767821975252
111,similarity distr.,APP,GCN,0.5,0.5,2,40,0.3302428049727799
112,similarity distr.,APP,GCN,0.5,0.5,3,5,0.3225941098923767
113,similarity distr.,APP,GCN,0.5,0.5,3,20,0.3920625046333751
114,similarity distr.,APP,GCN,0.5,0.5,4,5,0.429298724572843
115,similarity distr.,APP,GCN,0.9,0.01,2,5,0.3947716306431357
116,similarity distr.,APP,GCN,0.9,0.01,2,20,0.3537846779336734
117,similarity distr.,APP,GCN,0.9,0.01,2,40,0.4275566827482313
118,similarity distr.,APP,GCN,0.9,0.01,3,2,0.4259339024199232
119,similarity distr.,APP,GCN,0.9,0.01,3,5,0.5
120,similarity distr.,APP,GCN,0.9,0.01,3,20,0.4460109841060373
121,similarity distr.,APP,GCN,0.9,0.01,4,2,0.367358024691358
122,similarity distr.,APP,GCN,0.9,0.01,4,5,0.4273856026785714
123,similarity distr.,APP,GCN,0.9,0.01,7,2,0.4488507895814417
124,similarity distr.,APP,GCN,0.9,0.2,2,5,0.2711998344915533
125,similarity distr.,APP,GCN,0.9,0.2,2,20,0.3792559494298463
126,similarity distr.,APP,GCN,0.9,0.2,2,40,0.4480561785400175
127,similarity distr.,APP,GCN,0.9,0.2,3,2,0.4337919999999999
128,similarity distr.,APP,GCN,0.9,0.2,3,5,0.4999623999259567
129,similarity distr.,APP,GCN,0.9,0.2,3,20,0.4751417079207921
130,similarity distr.,APP,GCN,0.9,0.2,4,2,0.35362
131,similarity distr.,APP,GCN,0.9,0.2,4,5,0.3865875257039578
132,similarity distr.,APP,GCN,0.9,0.5,2,5,0.3147052851097022
133,similarity distr.,APP,GCN,0.9,0.5,2,20,0.3113628085827835
134,similarity distr.,APP,GCN,0.9,0.5,2,40,0.315269348168729
135,similarity distr.,APP,GCN,0.9,0.5,3,5,0.4204832247646246
136,similarity distr.,APP,GCN,0.9,0.5,3,20,0.3630471008770374
137,similarity distr.,APP,GCN,0.9,0.5,4,5,0.2516382002842878
138,similarity distr.,APP,GAT,0.1,0.01,2,5,0.3764704699471133
139,similarity distr.,APP,GAT,0.1,0.01,2,20,0.4410396975425331
140,similarity distr.,APP,GAT,0.1,0.01,2,40,0.4979838709677419
141,similarity distr.,APP,GAT,0.1,0.01,3,2,0.4882098675827809
142,similarity distr.,APP,GAT,0.1,0.01,3,5,0.4371025949475855
143,similarity distr.,APP,GAT,0.1,0.01,3,20,0.398505797011594
144,similarity distr.,APP,GAT,0.1,0.01,4,2,0.3520891043397968
145,similarity distr.,APP,GAT,0.1,0.01,4,5,0.3983460988132312
146,similarity distr.,APP,GAT,0.1,0.01,7,2,0.3443811229145503
147,similarity distr.,APP,GAT,0.1,0.2,2,5,0.3651817710082108
148,similarity distr.,APP,GAT,0.1,0.2,2,20,0.6167927533133818
149,similarity distr.,APP,GAT,0.1,0.2,2,40,0.416624406779661
150,similarity distr.,APP,GAT,0.1,0.2,3,2,0.3946738782797387
151,similarity distr.,APP,GAT,0.1,0.2,3,5,0.3677835169880624
152,similarity distr.,APP,GAT,0.1,0.2,3,20,0.550664743491144
153,similarity distr.,APP,GAT,0.1,0.2,4,2,0.4124554183813442
154,similarity distr.,APP,GAT,0.1,0.2,4,5,0.5864410339256866
155,similarity distr.,APP,GAT,0.1,0.5,2,5,0.5634247997285625
156,similarity distr.,APP,GAT,0.1,0.5,2,20,0.638701269200467
157,similarity distr.,APP,GAT,0.1,0.5,2,40,0.486771014842802
158,similarity distr.,APP,GAT,0.1,0.5,3,5,0.5141067002513098
159,similarity distr.,APP,GAT,0.1,0.5,3,20,0.6614542898055655
160,similarity distr.,APP,GAT,0.1,0.5,4,5,0.416233226324836
161,similarity distr.,APP,GAT,0.5,0.01,2,5,0.439461247637051
162,similarity distr.,APP,GAT,0.5,0.01,2,20,0.5241367074724601
163,similarity distr.,APP,GAT,0.5,0.01,2,40,0.3642817285634572
164,similarity distr.,APP,GAT,0.5,0.01,3,2,0.4979676162321956
165,similarity distr.,APP,GAT,0.5,0.01,3,5,0.5448921245449858
166,similarity distr.,APP,GAT,0.5,0.01,3,20,0.4919088139120095
167,similarity distr.,APP,GAT,0.5,0.01,4,2,0.4748099236520056
168,similarity distr.,APP,GAT,0.5,0.01,4,5,0.5326767953637717
169,similarity distr.,APP,GAT,0.5,0.01,7,2,0.5203106784357068
170,similarity distr.,APP,GAT,0.5,0.2,2,5,0.4182763557079786
171,similarity distr.,APP,GAT,0.5,0.2,2,20,0.6452123101952277
172,similarity distr.,APP,GAT,0.5,0.2,2,40,0.6000213611525087
173,similarity distr.,APP,GAT,0.5,0.2,3,2,0.656151254570892
174,similarity distr.,APP,GAT,0.5,0.2,3,5,0.3621296318765318
175,similarity distr.,APP,GAT,0.5,0.2,3,20,0.6278606781514904
176,similarity distr.,APP,GAT,0.5,0.2,4,2,0.4771384429544301
177,similarity distr.,APP,GAT,0.5,0.2,4,5,0.4527400766647105
178,similarity distr.,APP,GAT,0.5,0.5,2,5,0.2938849117966536
179,similarity distr.,APP,GAT,0.5,0.5,2,20,0.5351814187958704
180,similarity distr.,APP,GAT,0.5,0.5,2,40,0.3651035136293751
181,similarity distr.,APP,GAT,0.5,0.5,3,5,0.4581771415862742
182,similarity distr.,APP,GAT,0.5,0.5,3,20,0.4673326908386489
183,similarity distr.,APP,GAT,0.5,0.5,4,5,0.3261525419904657
184,similarity distr.,APP,GAT,0.9,0.01,2,5,0.445766408883601
185,similarity distr.,APP,GAT,0.9,0.01,2,20,0.420768893494898
186,similarity distr.,APP,GAT,0.9,0.01,2,40,0.3502316889456722
187,similarity distr.,APP,GAT,0.9,0.01,3,2,0.4691244420079881
188,similarity distr.,APP,GAT,0.9,0.01,3,5,0.3887367096826556
189,similarity distr.,APP,GAT,0.9,0.01,3,20,0.4278270488462807
190,similarity distr.,APP,GAT,0.9,0.01,4,2,0.3477135802469135
191,similarity distr.,APP,GAT,0.9,0.01,4,5,0.2632334183673469
192,similarity distr.,APP,GAT,0.9,0.01,7,2,0.421540351439406
193,similarity distr.,APP,GAT,0.9,0.2,2,5,0.4100149568084001
194,similarity distr.,APP,GAT,0.9,0.2,2,20,0.6495648239960337
195,similarity distr.,APP,GAT,0.9,0.2,2,40,0.529127308707124
196,similarity distr.,APP,GAT,0.9,0.2,3,2,0.512254
197,similarity distr.,APP,GAT,0.9,0.2,3,5,0.5248840182331436
198,similarity distr.,APP,GAT,0.9,0.2,3,20,0.6499405940594059
199,similarity distr.,APP,GAT,0.9,0.2,4,2,0.4079739999999999
200,similarity distr.,APP,GAT,0.9,0.2,4,5,0.5360127683519128
201,similarity distr.,APP,GAT,0.9,0.5,2,5,0.5378276803470761
202,similarity distr.,APP,GAT,0.9,0.5,2,20,0.2895448494596277
203,similarity distr.,APP,GAT,0.9,0.5,2,40,0.3379559644027861
204,similarity distr.,APP,GAT,0.9,0.5,3,5,0.4583898739399644
205,similarity distr.,APP,GAT,0.9,0.5,3,20,0.4683012676914349
206,similarity distr.,APP,GAT,0.9,0.5,4,5,0.4153180187526793
207,random walks,DeepWalk,SAGE,0.5,0.2,3,5,0.6606809192166759
208,random walks,DeepWalk,SAGE,0.9,0.01,2,40,0.7436166358383708
209,random walks,DeepWalk,SAGE,0.1,0.01,2,5,0.7728689497074142
210,random walks,DeepWalk,SAGE,0.1,0.01,4,2,0.6960410895660204
211,random walks,DeepWalk,SAGE,0.9,0.01,7,2,0.6958464633516708
212,random walks,DeepWalk,SAGE,0.5,0.01,4,5,0.7735335578353826
213,random walks,DeepWalk,SAGE,0.5,0.01,2,20,0.7246979887421172
214,random walks,DeepWalk,SAGE,0.1,0.2,3,2,0.5657830281487719
215,random walks,DeepWalk,SAGE,0.9,0.01,3,2,0.8681180985198527
216,random walks,DeepWalk,SAGE,0.1,0.01,2,20,0.7551039697542534
217,random walks,DeepWalk,SAGE,0.1,0.01,4,5,0.7703686558370508
218,random walks,DeepWalk,SAGE,0.5,0.01,7,2,0.6898817544550259
219,random walks,DeepWalk,SAGE,0.1,0.01,7,2,0.6478022072622717
220,random walks,DeepWalk,SAGE,0.9,0.01,3,5,0.7601249898547195
221,random walks,DeepWalk,SAGE,0.1,0.5,2,20,0.7054277441356268
222,random walks,DeepWalk,SAGE,0.9,0.2,2,5,0.6310246939959098
223,random walks,DeepWalk,SAGE,0.5,0.5,2,40,0.6559537661684647
224,random walks,DeepWalk,SAGE,0.9,0.01,3,20,0.7847425721438415
225,random walks,DeepWalk,SAGE,0.1,0.01,2,40,0.6827198231009366
226,random walks,DeepWalk,SAGE,0.5,0.01,2,40,0.7529295058590117
227,random walks,DeepWalk,SAGE,0.9,0.01,4,2,0.7972938271604938
228,random walks,DeepWalk,SAGE,0.1,0.01,3,2,0.7239238076805213
229,random walks,DeepWalk,SAGE,0.9,0.01,4,5,0.7337771045918368
230,random walks,DeepWalk,SAGE,0.1,0.01,3,5,0.7345060850817854
231,random walks,DeepWalk,SAGE,0.5,0.01,3,2,0.7345639613007257
232,random walks,DeepWalk,SAGE,0.1,0.2,3,5,0.6368457300275483
233,random walks,DeepWalk,SAGE,0.5,0.2,2,5,0.5871036072035444
234,random walks,DeepWalk,SAGE,0.5,0.2,3,20,0.5684189681888615
235,random walks,DeepWalk,SAGE,0.5,0.5,3,5,0.6432639589491023
236,random walks,DeepWalk,SAGE,0.5,0.01,3,5,0.7061038291490259
237,random walks,DeepWalk,SAGE,0.9,0.2,2,20,0.6527444224095191
238,random walks,DeepWalk,SAGE,0.1,0.01,3,20,0.741257982515965
239,random walks,DeepWalk,SAGE,0.1,0.5,2,40,0.7373532828413527
240,random walks,DeepWalk,SAGE,0.9,0.2,2,40,0.6198228891820581
241,random walks,DeepWalk,SAGE,0.1,0.2,2,5,0.6793589939257043
242,random walks,DeepWalk,SAGE,0.5,0.2,2,20,0.5857368040491685
243,random walks,DeepWalk,SAGE,0.9,0.2,3,20,0.698721287128713
244,random walks,DeepWalk,SAGE,0.1,0.2,3,20,0.6628338591109473
